time,open,high,low,close,Volume,Volume MA
1586304000,7203.34,7429.22,7154.005,7368.7675,34146.61697509,50979.984558314325
1586390400,7368.2275,7377.635,7106.08,7299.13,30104.37911779,46761.39146288683
1586476800,7300.035,7307.86,6751.2875,6873.5425,43924.69250113,46477.82713230783
1586563200,6872.98,6956.305,6773.16,6888.695,16634.64013042,44572.41034663883
1586649600,6886.86,7205.3625,6791.155,6906.54,28956.17512964,41709.20391450933
1586736000,6906.2925,6907.855,6554.9775,6862.78,46474.41813827,39911.78335779583
1586822400,6862.5925,6990.33,6771.5175,6876.885,27874.50545079,38054.01079206983
1586908800,6873.975,6938.73,6604.545,6622.355,31309.9000007,37917.51342954683
1586995200,6621.805,7218.2475,6469.8825,7114.9175,63211.61860411,38888.16573572533
1587081600,7117.4925,7158.08,6996.44,7033.0025,29366.64107489,38202.966561942834
1587168000,7030.83,7304.32,7023.69,7262.19,22501.35677915,37643.71702132633
1587254400,7263.6525,7276.5125,7063.92,7130.2775,17741.0717522,35892.46084599283
1587340800,7128.3575,7225.7525,6755.955,6840.2975,39701.95187629,36581.87199217683
1587427200,6836.6675,6956.7025,6771.705,6854.9675,27133.17777551,35774.66098519883
1587513600,6854.2425,7168.3275,6824.465,7137.135,27055.91050299,33645.34563133733
1587600000,7137.2325,7774.8625,7032.835,7507.5425,52304.10267879,34283.83353585334
1587686400,7511.375,7612.6275,7386.705,7510.8825,30676.66867623,34615.05509881284
1587772800,7514.605,7722.775,7440.985,7548.32,17538.77982774,34590.649636108334
1587859200,7552.6525,7713.9375,7483.77,7703.1325,19957.97666442,32715.923998696333
1587945600,7706.215,7807.935,7634.8975,7790.8125,30330.1207043,31847.23521802233
1588032000,7792.8225,7798.0125,7667.1625,7761.97,23993.58477445,31339.583607990335
1588118400,7758.0625,8976.83,7721.185,8788.7275,101119.60555869,34890.34493003534
1588204800,8788.4175,9481.3425,8408.75,8627.93,99138.77310178,37651.048960067834
1588291200,8627.5475,9071.6575,8621.9875,8827.04,44768.18718806,39057.72631294983
1588377600,8830.9925,9020.8,8759.895,8982.3675,22693.74943833,38744.60502838433
1588464000,8984.3425,9205.4975,8725.59,8908.385,36511.92667372,38246.48045515683
1588550400,8913.4975,8973.09,8533.0975,8884.475,39000.1986824,38802.765116737326
1588636800,8892.8125,9122.2125,8771.3625,9028.66,36069.86267339,39040.76325037183
1588723200,9030.195,9420.2375,8921.97,9157.695,57885.34854907,38774.44974761982
1588809600,9158.815,10078.3,9033.98,10002.4525,88286.39820222,41720.43760398632
1588896000,10005.9075,10048.9725,9728.755,9806.6125,59553.50209012,43573.044869534824
1588982400,9808.49,9917.4175,9519.3425,9541.09,38949.69927612,44633.476245730824
1589068800,9531.785,9564.665,8086.295,8726.06,110639.28131952,48180.34271789232
1589155200,8730.695,9179.2075,8189,8571.67,99265.67786299,51786.967722266316
1589241600,8572.2425,8981.5925,8535.8025,8823.31,43981.77715314,52633.261054773815
1589328000,8819.55,9416.6325,8805.295,9316.36,46031.45697394,52319.628769531315
1589414400,9320.47,9946.5675,9259.475,9790.2375,65112.70313572,54041.43049250582
1589500800,9793.12,9830.9225,9119.3525,9311.1425,56834.67251137,56006.225126687306
1589587200,9312.48,9589.685,9215.6475,9387.115,22686.07768931,56142.63017793182
1589673600,9379.845,9891.695,9325.61,9670.7075,31297.01953104,56190.97511926881
1589760000,9681.9,9956.7475,9435.1675,9726.3225,39952.02494402,56988.89712774732
1589846400,9730.0075,9900.4725,9462.7825,9782.035,37786.07148455,53822.220424040315
1589932800,9780.02,9841.8525,9251.6425,9512.655,40493.18811724,50889.94117481331
1590019200,9509.9075,9568.5675,8800.5,9059.705,60810.54702295,51692.05916655781
1590105600,9060.84,9266.6525,8925.2325,9168.7,28275.42441356,51971.14291531932
1590192000,9168.925,9313.9875,9084.845,9179.705,14205.89805416,50855.84148434131
1590278400,9181.0975,9304.825,8672.7825,8716.09,29954.41334861,50403.55221765181
1590364800,8712.855,8978.0075,8636.7325,8898.915,28677.2726474,50033.92271635232
1590451200,8900.6675,9014.1125,8692.4575,8842.3325,24471.21780183,48363.21617899032
1590537600,8841.4,9228.3025,8810.77,9210.6075,26515.09781809,45274.65115978382
1590624000,9207.9025,9608.7525,9110.165,9556.0825,36507.69257741,44122.36068414832
1590710400,9574.875,9606.905,9325.355,9424.535,25194.95557856,43434.62349927032
1590796800,9426.3825,9754.3975,9328.15,9701.15,23616.88612414,39083.50373950132
1590883200,9701.4725,9704.9975,9377.135,9448.95,18209.27821507,35030.68375710532
1590969600,9446.96,10413.065,9416.49,10206.925,48103.55247188,35236.77252304232
1591056000,10208.5,10236.705,9241.5475,9523.3525,77225.56159115,36796.477753902815
1591142400,9519.505,9693.985,9366.23,9666.645,24335.14675029,34757.59993463131
1591228800,9667.87,9887.175,9451.915,9791.94,30471.32302806,33439.43246046581
1591315200,9793.39,9856.7025,9576.0225,9618.695,26628.68715498,33636.562933749316
1591401600,9598.0475,9737.7875,9528.0775,9671.7825,13954.37652841,32769.43078361782
1591488000,9671.515,9819.6775,9373.77,9752.5925,24565.75842564,32000.11745769882
1591574400,9756.0075,9904.565,9637.3975,9782.51,19376.81532646,31079.654649794324
1591660800,9783.695,9894.8825,9563.3325,9780.1875,24988.02859509,30304.396673686824
1591747200,9781.8925,10010.6675,9654.5,9893.4425,28281.31868911,28677.935256994824
1591833600,9894.88,9989.56,9065.3425,9266.2725,60001.57795425,30264.242934029327
1591920000,9267.9175,9552.1025,9230.4125,9464.24,24613.44242991,30784.620152816828
1592006400,9463.8075,9496.5925,9349.555,9474.3475,9903.96831111,29782.09790094183
1592092800,9476.19,9479.8725,9237.5025,9329.6975,11518.80229412,28924.174383277823
1592179200,9330.565,9501.075,8900.6275,9430.55,43706.72426614,29885.949706493324
1592265600,9431.735,9591.99,9382.5925,9527.8625,24442.49847668,29782.319739422826
1592352000,9529.1525,9560.9925,9231.4375,9456.335,21611.64674661,29037.51744788282
1592438400,9456.9225,9480.5875,9264.2625,9376.185,14891.44007525,28522.34167271732
1592524800,9374.175,9432.22,9226.7625,9301.5275,19269.36278104,28304.965505562323
1592611200,9298.1125,9395.745,9157.9375,9357.655,12822.78851292,28035.641020454823
1592697600,9357.0375,9419.1375,9275.3025,9285.9675,6946.12762526,25977.76977812382
1592784000,9287.1825,9789.2375,9270.7025,9688.89,25202.57466056,23376.62043159432
1592870400,9691.105,9723.8025,9574.8225,9622.5125,18117.02207707,23065.71419793332
1592956800,9622.08,9665.435,9196.96,9287.6075,31975.41444447,23140.91876875382
1593043200,9286.41,9337.93,8985.61,9238.85,30815.5058366,23350.259702834817
1593129600,9239.4675,9289.185,9027.6,9154.7425,25784.76376757,23941.77906479282
1593216000,9156.2025,9186.245,8820.86,9004.28,18333.15396093,23630.14884155732
1593302400,9005.5575,9190.005,8933.915,9116.235,11912.99646425,23256.95789844682
1593388800,9116.4575,9236.1375,9015.0975,9186.5725,19281.9524167,22971.654089527325
1593475200,9189.4375,9201.74,9060.67,9134.015,13505.79302831,22232.877806487326
1593561600,9135.67,9298.875,9080.5,9236.385,17739.45767174,20119.771792361826
1593648000,9236.2825,9267.49,8938.15,9093.3025,24568.43996121,20117.521668926824
1593734400,9092.415,9137.155,9037.0275,9064.355,13948.02067359,20319.724287050827
1593820800,9060.425,9195.8325,9043.9725,9140.565,9459.50474726,20216.759409707825
1593907200,9140.645,9146.9125,8909.995,9078.89,10113.54156944,18537.100274872824
1593993600,9078.75,9373.985,9063.265,9347.485,21621.47484708,18396.049093392823
1594080000,9346.455,9381.0175,9203.28,9256.945,16238.6245467,18127.39798339732
1594166400,9257.3575,9481.8975,9233.9225,9439.2625,22656.88288671,18515.67012397032
1594252800,9440.375,9446.305,9158.195,9237.495,18779.31857536,18491.16791368632
1594339200,9237.505,9319.0125,9105.285,9288.2275,15085.75435451,18604.31620576582
1594425600,9291.46,9302.8975,9182.91,9237.305,6517.91480522,18582.90556476382
1594512000,9236.215,9345.4575,9158.34,9302.385,9885.15298048,17817.03448075982
1594598400,9303.9125,9351.015,9194.2325,9236.425,16898.07691612,17756.087222712318
1594684800,9236.455,9280.195,9095.44,9254.7525,16782.15087029,16996.424044003317
1594771200,9256.3625,9275.01,9154.3475,9192.06,16073.11445135,16259.304474740817
1594857600,9192.46,9215.4725,9021.5525,9131.8425,19793.86768173,15959.759670448815
1594944000,9131.845,9192.805,9070.505,9154.5775,13962.08027984,15741.205986394314
1595030400,9153.08,9213.22,9124.25,9176.77,7271.06942218,15509.109634290813
1595116800,9176.23,9242.695,9107.7725,9213.99,6991.85077813,14894.604552362312
1595203200,9215.165,9225.375,9131.4275,9163.4975,12149.82949165,14826.806375529311
1595289600,9163.33,9438.6425,9157.2725,9393.93,21242.96008261,15001.981496072814
1595376000,9395.2525,9568.7525,9280.2975,9536.005,20697.59866737,14808.439431380812
1595462400,9535.8875,9682,9454.82,9615.2925,29936.07743059,15607.842269230812
1595548800,9614.7225,9648.775,9478.0275,9551.6625,22868.98185655,16278.31612469531
1595635200,9553.085,9748.7275,9537.345,9712.85,15279.50534957,16536.61431370181
1595721600,9713.8075,10184.4275,9662.9875,9942.845,28168.17840833,16863.94949176431
1595808000,9942.1375,11418.6925,9935.68,11046.5075,91941.52464767,20649.09449681281
1595894400,11049.5475,11261.725,10584.12,10936.3525,57020.25182983,22367.26294396881
1595980800,10934.42,11354.1175,10851.87,11111.095,40743.58197824,23465.47611411281
1596067200,11107.9575,11188.875,10824.9775,11128.7175,30108.51535027,24216.614163900813
1596153600,11128.4075,11460.3875,10977.225,11354.0825,34509.5320836,25616.195027819813
1596240000,11354.7825,11887.3725,11236.305,11812.8525,38093.39593778,27026.607175684814
1596326400,11810.79,12123.25,10569.515,11066.14,53395.93454204,28851.50005698081
1596412800,11071.575,11484.8475,10895.7775,11236.735,27483.2551916,29386.55527304631
1596499200,11236.5325,11419.9425,11011.99,11196.035,22680.0535108,29716.902226018814
1596585600,11196.9275,11798.3125,11086.7475,11755.6625,31789.9454418,30316.706114022316
1596672000,11756.68,11915.7825,11578.7675,11773.815,34896.16348229,31363.410274144815
1596758400,11773.86,11920.0825,11318.0175,11606.64,41838.29346689,33091.771476380316
1596844800,11607.3625,11818.0375,11534.3475,11775.3475,14363.58735655,33460.35830530132
1596931200,11771.34,11808.6325,11533.1325,11687.8175,12493.80124675,33477.556893056324
1597017600,11688.64,12087.03,11503.8775,11900.03,39779.78868709,34404.39832328032
1597104000,11898.18,11943.9,11128.875,11390.4325,41737.75129004,35456.40595441382
1597190400,11388.96,11626.28,11154.1675,11570.8525,24606.4781059,35189.92598817932
1597276800,11572.6525,11803.0375,11273.5125,11795.9525,28614.88164794,35477.22097774882
1597363200,11796.93,11865.0175,11654.565,11777.6425,24471.14855724,35936.80313813232
1597449600,11775.915,11988.285,11680.0275,11859.085,20672.06212896,35561.99732416383
1597536000,11860.2075,11940.23,11692.625,11918.0375,14102.80115098,31670.061149329333
1597622400,11920.0225,12479.03,11775.86,12305.01,43704.09834001,31004.253474838333
1597708800,12305.61,12400.5575,11820.1775,11956.1375,36257.44665232,30779.94670854233
1597795200,11953.5125,12023.345,11572.7725,11759.73,33951.75280785,30972.108581421333
1597881600,11760.7725,11896.4925,11674.695,11857.665,17592.32366725,30126.248160603835
1597968000,11860.445,11884.365,11489.09,11529.71,27279.70554749,29585.563641089335
1598054400,11530.9,11692.6375,11366,11673.4475,14839.71215068,27657.752521521335
1598140800,11675.35,11714.815,11524.1375,11650.9875,8702.72615861,26718.72606987184
1598227200,11653.5025,11826.32,11595.3825,11760.61,13374.28991352,26253.437890007837
